1967,Cooper-Maserati,1,11,9.09,5
1967,Eagle-Weslake,1,11,9.09,5
1967,Honda,1,11,9.09,5
1969,McLaren-Ford,1,11,9.09,4
1968,Ferrari,1,12,8.33,4
1972,BRM,1,12,8.33,5
1972,Ferrari,1,12,8.33,5
1972,McLaren,1,12,8.33,5
1970,March,1,13,7.69,5
1970,Brabham,1,13,7.69,5
1970,BRM,1,13,7.69,5
1975,Tyrrell,1,14,7.14,6
1975,Hesketh,1,14,7.14,6
1975,March,1,14,7.14,6
1983,Tyrrell,1,15,6.67,6
1983,Williams,1,15,6.67,6
1983,McLaren,1,15,6.67,6
1981,McLaren,1,15,6.67,6
1979,Renault,1,15,6.67,4
1978,Tyrrell,1,16,6.25,4
1982,Team Lotus,1,16,6.25,7
1982,Tyrrell,1,16,6.25,7
1982,Williams,1,16,6.25,7
1984,Ferrari,1,16,6.25,4
1984,Williams,1,16,6.25,4
1985,Brabham,1,16,6.25,5
1976,Penske,1,16,6.25,6
1976,Team Lotus,1,16,6.25,6
1976,Tyrrell,1,16,6.25,6
1976,March,1,16,6.25,6
1991,Benetton,1,16,6.25,3
1988,Ferrari,1,16,6.25,2
1989,Benetton,1,16,6.25,4
1986,Benetton,1,16,6.25,4
1992,Benetton,1,16,6.25,3
1993,Benetton,1,16,6.25,3
1996,Ligier,1,16,6.25,3
1994,Ferrari,1,16,6.25,3
2003,Renault,1,16,6.25,5
2003,Jordan,1,16,6.25,5
1998,Jordan,1,16,6.25,3
1999,Stewart,1,16,6.25,4
2002,McLaren,1,17,5.88,3
2002,Williams,1,17,5.88,3
1997,Benetton,1,17,5.88,4
1995,Ferrari,1,17,5.88,3
2009,Ferrari,1,17,5.88,4
2020,AlphaTauri,1,17,5.88,4
2020,Racing Point,1,17,5.88,4
1977,Ligier,1,17,5.88,6
1977,Shadow,1,17,5.88,6
2008,Toro Rosso,1,18,5.56,5
2004,McLaren,1,18,5.56,4
2004,Renault,1,18,5.56,4
2004,Williams,1,18,5.56,4
2008,BMW Sauber,1,18,5.56,5
2006,Honda,1,18,5.56,3
2005,Ferrari,1,19,5.26,3
2011,Ferrari,1,19,5.26,3
2013,Lotus F1,1,19,5.26,4
2012,Williams,1,20,5.00,6
2012,Lotus F1,1,20,5.00,6
2012,Mercedes,1,20,5.00,6
2021,Alpine F1 Team,1,22,4.55,4
2021,McLaren,1,22,4.55,4
2022,Mercedes,1,22,4.55,3
