Race,Position,Driver,Team
Italian Grand Prix,18,Toulo de Graffenried,Alfa Romeo
Italian Grand Prix,19,Peter Whitehead,Ferrari
Italian Grand Prix,20,Chico Landi,Ferrari
Italian Grand Prix,21,Reg Parnell,BRM
Italian Grand Prix,22,Ken Richardson,BRM
Spanish Grand Prix,1,Juan Fangio,Alfa Romeo
Spanish Grand Prix,2,José Froilán González,Ferrari
Spanish Grand Prix,3,Nino Farina,Alfa Romeo
Spanish Grand Prix,4,Alberto Ascari,Ferrari
Spanish Grand Prix,5,Felice Bonetto,Alfa Romeo
Spanish Grand Prix,6,Toulo de Graffenried,Alfa Romeo
Spanish Grand Prix,7,Louis Rosier,Talbot-Lago
Spanish Grand Prix,8,Philippe Étancelin,Talbot-Lago
Spanish Grand Prix,9,Robert Manzon,Simca
Spanish Grand Prix,10,Paco Godia,Maserati
Spanish Grand Prix,11,Luigi Villoresi,Ferrari
Spanish Grand Prix,12,André Simon,Simca
Spanish Grand Prix,13,Johnny Claes,Talbot-Lago
Spanish Grand Prix,14,Piero Taruffi,Ferrari
Spanish Grand Prix,15,Maurice Trintignant,Simca
Spanish Grand Prix,16,Georges Grignard,Talbot-Lago
Spanish Grand Prix,17,Yves Cabantous,Talbot-Lago
Spanish Grand Prix,18,Louis Chiron,Talbot-Lago
Spanish Grand Prix,19,Prince Bira,Maserati
Spanish Grand Prix,20,Juan Jover,Maserati
Swiss Grand Prix,1,Piero Taruffi,Ferrari
Swiss Grand Prix,2,Rudi Fischer,Ferrari
Swiss Grand Prix,3,Jean Behra,Gordini
Swiss Grand Prix,4,Ken Wharton,Frazer Nash
Swiss Grand Prix,5,Alan Brown,Cooper
Swiss Grand Prix,6,Toulo de Graffenried,Maserati
Swiss Grand Prix,7,Peter Hirt,Ferrari
Swiss Grand Prix,8,Eric Brandon,Cooper
Swiss Grand Prix,9,Prince Bira,Simca
Swiss Grand Prix,10,André Simon,Ferrari
Swiss Grand Prix,10,Nino Farina,Ferrari
Swiss Grand Prix,11,Harry Schell,Maserati
Swiss Grand Prix,12,Stirling Moss,HWM
Swiss Grand Prix,13,Lance Macklin,HWM
Swiss Grand Prix,14,Robert Manzon,Gordini
Swiss Grand Prix,15,Nino Farina,Ferrari
Swiss Grand Prix,16,Peter Collins,HWM
Swiss Grand Prix,17,George Abecassis,HWM
Swiss Grand Prix,18,Hans von Stuck,AFM
Swiss Grand Prix,19,Toni Ulmen,Veritas
Swiss Grand Prix,20,Louis Rosier,Ferrari
Swiss Grand Prix,21,Max de Terra,Simca
Indianapolis 500,1,Troy Ruttman,Kuzma
Indianapolis 500,2,Jim Rathmann,Kurtis Kraft
Indianapolis 500,3,Sam Hanks,Kurtis Kraft
Indianapolis 500,4,Duane Carter,Lesovsky
Indianapolis 500,5,Art Cross,Kurtis Kraft
Indianapolis 500,6,Jimmy Bryan,Kurtis Kraft
Indianapolis 500,7,Jimmy Reece,Kurtis Kraft
Indianapolis 500,8,George Connor,Kurtis Kraft
Indianapolis 500,9,Cliff Griffith,Kurtis Kraft
Indianapolis 500,10,Johnnie Parsons,Kurtis Kraft
Indianapolis 500,11,Jack McGrath,Kurtis Kraft
Indianapolis 500,12,Jim Rigsby,Watson
Indianapolis 500,13,Joe James,Kurtis Kraft
Indianapolis 500,14,Bill Schindler,Stevens
Indianapolis 500,15,George Fonder,Sherman
Indianapolis 500,16,Eddie Johnson,Trevis
Indianapolis 500,17,Bill Vukovich,Kurtis Kraft
Indianapolis 500,18,Chuck Stevenson,Kurtis Kraft
Indianapolis 500,19,Henry Banks,Lesovsky
Indianapolis 500,20,Manny Ayulo,Lesovsky
Indianapolis 500,21,Johnny McDowell,Kurtis Kraft
Indianapolis 500,22,Travis Webb,Bromme
Indianapolis 500,23,Rodger Ward,Kurtis Kraft
Indianapolis 500,24,Tony Bettenhausen,Deidt
Indianapolis 500,25,Duke Nalon,Kurtis Kraft
Indianapolis 500,26,Bob Sweikert,Kurtis Kraft
Indianapolis 500,27,Fred Agabashian,Kurtis Kraft
Indianapolis 500,28,Gene Hartley,Kurtis Kraft
Indianapolis 500,29,Bob Scott,Kurtis Kraft
Indianapolis 500,30,Chet Miller,Kurtis Kraft
Indianapolis 500,31,Alberto Ascari,Ferrari
Indianapolis 500,32,Bobby Ball,Stevens
Indianapolis 500,33,Andy Linden,Kurtis Kraft
Belgian Grand Prix,1,Alberto Ascari,Ferrari
Belgian Grand Prix,2,Nino Farina,Ferrari
Belgian Grand Prix,3,Robert Manzon,Gordini
Belgian Grand Prix,4,Mike Hawthorn,Cooper
Belgian Grand Prix,5,Paul Frère,HWM
Belgian Grand Prix,6,Alan Brown,Cooper
Belgian Grand Prix,7,Charles de Tornaco,Ferrari
Belgian Grand Prix,8,Johnny Claes,Gordini
Belgian Grand Prix,9,Eric Brandon,Cooper
Belgian Grand Prix,10,Prince Bira,Simca
Belgian Grand Prix,11,Lance Macklin,HWM
Belgian Grand Prix,12,Roger Laurent,HWM
Belgian Grand Prix,13,Arthur Legat,Veritas
Belgian Grand Prix,14,Robert O'Brien,Simca
Belgian Grand Prix,15,Tony Gaze,HWM
Belgian Grand Prix,16,Robin Montgomerie-Charrington,Aston Butterworth
Belgian Grand Prix,17,Piero Taruffi,Ferrari
Belgian Grand Prix,18,Jean Behra,Gordini
Belgian Grand Prix,19,Ken Wharton,Frazer Nash
Belgian Grand Prix,20,Louis Rosier,Ferrari
Belgian Grand Prix,21,Peter Collins,HWM
Belgian Grand Prix,22,Stirling Moss,ERA
French Grand Prix,1,Alberto Ascari,Ferrari
French Grand Prix,2,Nino Farina,Ferrari
French Grand Prix,3,Piero Taruffi,Ferrari
French Grand Prix,4,Robert Manzon,Gordini
French Grand Prix,5,Maurice Trintignant,Simca
French Grand Prix,6,Peter Collins,HWM
French Grand Prix,7,Jean Behra,Gordini
French Grand Prix,8,Philippe Étancelin,Maserati
French Grand Prix,9,Lance Macklin,HWM
French Grand Prix,10,Yves Cabantous,HWM
French Grand Prix,11,Rudi Fischer,Ferrari
French Grand Prix,11,Peter Hirt,Ferrari
French Grand Prix,12,Franco Comotti,Ferrari
French Grand Prix,13,Prince Bira,Gordini
French Grand Prix,14,Mike Hawthorn,Cooper
French Grand Prix,15,Toulo de Graffenried,Maserati
French Grand Prix,15,Harry Schell,Maserati
French Grand Prix,16,Peter Whitehead,Alta
French Grand Prix,17,Louis Rosier,Ferrari
French Grand Prix,18,Johnny Claes,Simca
French Grand Prix,19,Harry Schell,Maserati
French Grand Prix,20,Piero Carini,Ferrari
British Grand Prix,1,Alberto Ascari,Ferrari
British Grand Prix,2,Piero Taruffi,Ferrari
British Grand Prix,3,Mike Hawthorn,Cooper
British Grand Prix,4,Dennis Poore,Connaught
British Grand Prix,5,Eric Thompson,Connaught
British Grand Prix,6,Nino Farina,Ferrari
British Grand Prix,7,Reg Parnell,Cooper
British Grand Prix,8,Roy Salvadori,Ferrari
British Grand Prix,9,Ken Downing,Connaught
British Grand Prix,10,Peter Whitehead,Ferrari
British Grand Prix,11,Prince Bira,Gordini
British Grand Prix,12,Graham Whitehead,Alta
British Grand Prix,13,Rudi Fischer,Ferrari
British Grand Prix,14,Johnny Claes,Simca
British Grand Prix,15,Lance Macklin,HWM
British Grand Prix,16,Kenneth McAlpine,Connaught
British Grand Prix,17,Harry Schell,Maserati
British Grand Prix,18,Gino Bianco,Maserati
British Grand Prix,19,Toulo de Graffenried,Maserati
British Grand Prix,20,Eric Brandon,Cooper
British Grand Prix,21,Tony Crook,Frazer Nash
British Grand Prix,22,Alan Brown,Cooper
British Grand Prix,23,Peter Collins,HWM
British Grand Prix,24,Duncan Hamilton,HWM
British Grand Prix,25,Stirling Moss,ERA
British Grand Prix,26,Maurice Trintignant,Gordini
British Grand Prix,27,Tony Gaze,HWM
British Grand Prix,28,David Murray,Cooper
British Grand Prix,29,Robert Manzon,Gordini
British Grand Prix,30,Peter Hirt,Ferrari
British Grand Prix,31,Eitel Cantoni,Maserati
British Grand Prix,32,Bill Aston,Aston Butterworth
German Grand Prix,1,Alberto Ascari,Ferrari
German Grand Prix,2,Nino Farina,Ferrari
German Grand Prix,3,Rudi Fischer,Ferrari
German Grand Prix,4,Piero Taruffi,Ferrari
German Grand Prix,5,Jean Behra,Gordini
German Grand Prix,6,Roger Laurent,Ferrari
German Grand Prix,7,Fritz Riess,Veritas
German Grand Prix,8,Toni Ulmen,Veritas
German Grand Prix,9,Helmut Niedermayr,AFM
German Grand Prix,10,Johnny Claes,HWM
German Grand Prix,11,Hans Klenk,Veritas
German Grand Prix,12,Ernst Klodwig,BMW
German Grand Prix,13,Robert Manzon,Gordini
German Grand Prix,14,Willi Heeks,AFM
German Grand Prix,15,Tony Gaze,HWM
German Grand Prix,16,Adolf Brudes,Veritas
German Grand Prix,17,Marcel Balsa,BMW
German Grand Prix,18,Günther Bechem,BMW
German Grand Prix,19,Eitel Cantoni,Maserati
German Grand Prix,20,Rudolf Krause,BMW
German Grand Prix,21,Rudolf Schoeller,Ferrari
German Grand Prix,22,Bill Aston,Aston Butterworth
German Grand Prix,23,Maurice Trintignant,Gordini
German Grand Prix,24,Paul Pietsch,Veritas
German Grand Prix,25,Felice Bonetto,Maserati
German Grand Prix,26,Paul Frère,HWM
German Grand Prix,27,Theo Helfrich,Veritas
German Grand Prix,28,Josef Peters,Veritas
German Grand Prix,29,Piero Carini,Ferrari
German Grand Prix,30,Gino Bianco,Maserati
Dutch Grand Prix,1,Alberto Ascari,Ferrari
Dutch Grand Prix,2,Nino Farina,Ferrari
Dutch Grand Prix,3,Luigi Villoresi,Ferrari
Dutch Grand Prix,4,Mike Hawthorn,Cooper
Dutch Grand Prix,5,Robert Manzon,Gordini
Dutch Grand Prix,6,Maurice Trintignant,Gordini
Dutch Grand Prix,7,Duncan Hamilton,HWM
Dutch Grand Prix,8,Lance Macklin,HWM
Dutch Grand Prix,9,Chico Landi,Maserati
Dutch Grand Prix,9,Jan Flinterman,Maserati
Dutch Grand Prix,10,Ken Wharton,Frazer Nash
Dutch Grand Prix,11,Stirling Moss,ERA
Dutch Grand Prix,12,Dries van der Lof,HWM
Dutch Grand Prix,13,Ken Downing,Connaught
Dutch Grand Prix,14,Charles de Tornaco,Ferrari
Dutch Grand Prix,15,Paul Frère,Simca
Dutch Grand Prix,16,Jean Behra,Gordini
Dutch Grand Prix,17,Jan Flinterman,Maserati
Dutch Grand Prix,18,Gino Bianco,Maserati
Italian Grand Prix,1,Alberto Ascari,Ferrari
Italian Grand Prix,2,José Froilán González,Maserati
Italian Grand Prix,3,Luigi Villoresi,Ferrari
Italian Grand Prix,4,Nino Farina,Ferrari
Italian Grand Prix,5,Felice Bonetto,Maserati
Italian Grand Prix,6,André Simon,Ferrari
Italian Grand Prix,7,Piero Taruffi,Ferrari
Italian Grand Prix,8,Chico Landi,Maserati
Italian Grand Prix,9,Ken Wharton,Cooper
Italian Grand Prix,10,Louis Rosier,Ferrari
